responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
2327,1972,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,same productivity,4,7,4,2,0,8,7,2
2328,1994,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 5 and 19,Yes,Group household,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,4-5 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,3,8,3,2,0.5,8,5.5,2
2329,1993,Male,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Very likely,much more productive,1.5,9,3.5,2,0.5,12,2.5,1
2330,1983,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Other one family household,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,3-4 days,3-4 days,Very likely,Somewhat likely,Very likely,more productive,5,3,3,4,0.5,3,5,2
2331,1972,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat likely,Neither unlikely or likely,Very unlikely,less productive,2,8,3,5,0.5,6,5.5,5
2332,1963,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,2-3 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,much more productive,3,8,0.5,2,0,8,4,2
2333,1965,Male,Education and Training,Professionals - Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Very unlikely,much more productive,2,10,5,1,0,10,5,1
2334,1981,Male,"Professional, Scientific and Technical",Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,3,8,4,3,0,9,6,2
2335,1965,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,1.5,8.5,5,1,1,8,5.5,1.5
2336,1981,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat likely,much more productive,3.5,8,3.5,1,1,9,4,1
2337,1970,Male,"Professional, Scientific and Technical",Other,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,0-1 days,0-1 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,less productive,1,7,5,3,0.5,7,5.5,1
2338,1976,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,3-4 days,2-3 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,same productivity,1,8,2,5,0.5,10,4.5,2
2339,1971,Male,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Very likely,Very likely,more productive,3,8,4,2,0.5,10,3,3.5
2340,1963,Female,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,much more productive,2,9,3,2,0,11,2,3
2341,1973,Male,Information Media and Telecommunications,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Very likely,Neither unlikely or likely,Somewhat likely,same productivity,1,8,3,2,0,7,5,2
2342,1976,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 days,2-3 days,Very unlikely,Somewhat unlikely,Neither unlikely or likely,more productive,2.5,8.5,3,2,0.5,7.5,4,4
2343,1988,Female,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,4,8,4,2,1,8,5,2
2344,1970,Male,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,3,9,2,3,0.5,9,4.5,3
2345,1968,Male,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Very likely,Very likely,Neither unlikely or likely,same productivity,1,9,4,2,1,9,4,2
2346,1996,Female,Financial and Insurance,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,2,8,4,2,1,8,5,2
2347,1986,Female,Education and Training,Other,Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,2-3 days,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,1.5,8,3.5,2,0.5,8.5,4,2
2348,1984,Female,Health Care and Social Assistance,Other,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,less productive,1,8,3,3,2,8,3,3
2349,1993,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat likely,much more productive,1.5,9,2,3,0.5,9,4,2
2350,2002,Male,Other,Other,More than 200,Yes,Other one family household,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,same productivity,0.5,8,4,1.5,0,8,4.5,1.5
2351,1977,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,1-2 days,Very likely,Somewhat likely,Somewhat likely,much more productive,6,3,4,4,0.5,3,2,2
2352,1998,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,much less productive,3,8,4.5,1,0,8,6.5,1
2353,1981,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat likely,Somewhat unlikely,Somewhat likely,much more productive,1.5,9,5.5,1,0.5,10,5.5,1
2354,1970,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Other one family household,More than 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1,8.5,5,2,0,8,6,2
2355,1980,Male,Financial and Insurance,Other,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,2,9,2,3,0,9,3,4
2356,1972,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,One parent family with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,more productive,1,7,5,4,0.5,7,5,5
2357,1967,Male,Education and Training,Professionals - Education Professionals,More than 200,Yes,Single person,More than 5 years,Regional,0-1 days,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,1-2 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,more productive,2,7,4.5,4.5,2,5,4.5,4.5
2358,1958,Male,Other,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,0-1 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,0.5,8,4,4,2,12,0,2
2359,1998,Female,Other Services,Other,Between 1 and 4,No,Couple with dependent children,Between 6 and 12 months,Metro,0-1 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,1,5,5,5,1,5,5,5
2360,1973,Male,Other,Other,More than 200,No,Single person,More than 5 years,Metro,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,0-1 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,less productive,2,8,5,1,0.5,8,6.5,1
2361,1983,Male,Other Services,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,less productive,3,10,2,3,0.5,9,2.5,5
2362,1988,Female,Health Care and Social Assistance,Other,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,much more productive,3,9,4,1,0,10,5,1
2363,1983,Male,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3,8,2,3,0,8,4,4
2364,1993,Female,Other,Other,I am a sole trader/owner-operator,No,Group household,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,0-1 days,1-2 days,Somewhat unlikely,Somewhat likely,Somewhat unlikely,much more productive,2.5,9,2.5,2,5,10,3,3
2365,1992,Male,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,less productive,5,8,2,2,0.5,8,2,1
2366,1983,Female,Other Services,Other,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,same productivity,1,7,6,2,0,8,6,2
2367,1977,Male,Information Media and Telecommunications,Other,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,1-2 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,1-2 days,0-1 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,same productivity,2,8,6,0,0.5,8,7.5,0
2368,1992,Male,Other,"Managers - Chief Executives, General Managers and Legislators",I am a sole trader/owner-operator,Yes,Group household,Between 6 and 12 months,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Very likely,Very likely,Very likely,much more productive,6,6,1,5,0.5,6,2,4
2369,1982,Female,Other,Other,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Regional,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,less productive,2,7,2,5,0,7,5,4
2370,1978,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Multiple family household,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,much more productive,3,8,2,3,0,10,2,4
2371,1980,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,4-5 days,2-3 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,much more productive,2,8,4,2,0,9,4,3
2372,1989,Male,Other Services,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,less productive,0,8,8,0,0.5,8,7,2.5
2373,1992,Female,Retail Trade,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,much more productive,3.5,8,2,2,0.5,8,6,1.5
2374,1957,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,0-1 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,3,8,3,4,3,7,4,4
2375,1961,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Very likely,Somewhat likely,much more productive,2.5,8,3,3,0.5,8,4,4
2376,1957,Male,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,0-1 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,same productivity,4,8,4,1,4,8,4,1
2377,1963,Female,"Professional, Scientific and Technical",Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,2,10,2,3,2,10,2,3
2378,1974,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1.5,7.6,2,4,0,8,3,4
2379,1961,Male,"Professional, Scientific and Technical",Professionals - Education Professionals,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,0,8,3,5,0,8,5,3
2380,1980,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",I am a sole trader/owner-operator,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Very likely,Very likely,same productivity,4,7,4,3,4,7,4,3
2381,1996,Male,Retail Trade,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,less productive,1,9,4,2,0.5,9,4,2.5
2382,1988,Female,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,less productive,1,12,4,1,0,12,5,1
2383,1970,Female,Other Services,Other,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1,7,4,4,1,7,4,3
2384,1958,Male,Other,Other,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,same productivity,1,12,3,2,0.5,10,2.5,4
2385,1995,Male,Other,Other,Between 20 and 199,Yes,One parent family with dependent children,More than 5 years,Regional,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,2-3 days,4-5 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,much more productive,2,6,4,4,0.5,6,2,2
2386,1973,Male,Other,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Very unlikely,Neither unlikely or likely,Neither unlikely or likely,more productive,1,11,3,2,0,12,3,2
2387,1970,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat likely,more productive,1,8,4,3,0.3,8,4.69,3
2388,1980,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,One parent family with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Very likely,Very likely,Somewhat likely,same productivity,4,7,4,3,4,7,4,3
2389,1973,Female,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very unlikely,much more productive,0.5,8,5.5,2,0,10,4,2
2390,1989,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,1,8,2,4,0.5,9,3,3
2391,1995,Female,Health Care and Social Assistance,Other,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,same productivity,2,8,3,2,0,8,5,2
2392,1973,Female,Other,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Multiple family household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat unlikely,same productivity,2.5,7.5,4,1,0.5,7.5,4,4
2393,1997,Female,Financial and Insurance,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,4-5 days,4-5 days,Very unlikely,Somewhat unlikely,Very unlikely,same productivity,4,8,2,2,1,8,4,4
2394,1974,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat likely,Neither unlikely or likely,Very likely,less productive,1.5,10,3.5,2,0,12,3,2
2395,1967,Male,Financial and Insurance,Other,More than 200,No,Single person,Between 1 and 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,much less productive,5,8,2,1,1,8,6,1
2396,1967,Female,Other Services,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,same productivity,1.5,7.5,5.5,1.5,0,8,6.5,1.5
2397,1967,Male,Retail Trade,Managers - Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,1-2 days,1-2 days,Neither unlikely or likely,Very likely,Neither unlikely or likely,much more productive,0.5,8,7.5,1,0,8,8,1
2398,1983,Male,Other,Other,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,2,7,4,4,0,8,4,6
2399,1957,Male,Other,Other,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very unlikely,Very likely,much more productive,0.5,8,3.5,2,0.5,11,3,2
2400,1996,Female,Other,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Very likely,much more productive,3,8,4,2,0.5,8.5,5,3
2401,1996,Female,Other,Other,Between 20 and 199,No,Single person,Between 6 and 12 months,Regional,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,2,4,6,3,2,4,6,3
2402,1974,Male,"Professional, Scientific and Technical",Other,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,0-1 days,0-1 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,1,9,3,2,0.5,9,3,2
2403,1973,Female,Other Services,Managers - Specialist Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,4-5 days,2-3 days,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,more productive,1.5,8.5,4.5,1.5,0.5,8.5,5,1.5
2404,1974,Female,Financial and Insurance,Other,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2-3 days,1-2 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,more productive,3,7.5,3.5,3,0.5,8,5.5,3
2405,1962,Male,Other,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Somewhat unlikely,much more productive,0.5,8,2,0.5,0.5,3,2,2
2406,1969,Male,Other,Other,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1.5,8,3,3.5,0,9,4,3
2407,2000,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,2-3 days,Very likely,Very likely,Very likely,less productive,1,8,6,3,0,8,6,3
